NDC,Cellular Operator,Telecom Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7311,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7312,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7313,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7314,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7315,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7316,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7317,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7318,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7319,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7320,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7321,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7322,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7323,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7324,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7325,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7326,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7327,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7328,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7329,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7330,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7331,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7332,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7333,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7334,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7335,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7336,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7337,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7338,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7339,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7340,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7341,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7342,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7343,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7344,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7346,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7347,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7348,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7350,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7351,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7352,I,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7353,I,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7354,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7355,D,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7356,A,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7357,D,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7358,D,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7359,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7360,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7361,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7362,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7363,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
